,title,href,salary_min,salary_max,link
0,Angular front end developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49262530?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
1,Senior PHP Developer / PHP программист,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49049468?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
2,IOS & Android Developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49243061?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
3,Frontend React Developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49290246?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
4,Python developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49294706?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
5,Full-Stack Разработчик,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49262945?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
6,Firmware Developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/44382000?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
7,.NET Web Developer / Программист .Net Web,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49114203?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
8,Middle\Senior Flutter Developer\Мидл\Сеньор Флаттер разработчик,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49246060?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
9,Middle/Senior Go developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49297869?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
10,Front-end developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/48928129?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
11,PHP developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49287119?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
12,.Net Developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/48928097?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
13,Full-stack разработчик,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/48922666?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
14,JS backend-developer (Middle),https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49213340?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
15,Lead Unity Developer (Middle),https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/48387041?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
16,Java Developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49259370?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
17,Senior Backend Developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49200800?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
18,Python Developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49259354?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
19,Ruby Developer,https://belgorod.hh.ruhttps://belgorod.hh.ru/vacancy/49283041?from=vacancy_search_list&query=Developer,,,https://belgorod.hh.ru
